# realization	CO_IGE	CO_Ni56	CONe_IGE	CONe_Ni56
11	1.1632834007e+00	9.6124158871e-01	1.2101415456e+00	9.4555249355e-01
12	1.2537443074e+00	1.0446210064e+00	1.2533458287e+00	9.8584327582e-01
13	9.7185554697e-01	7.7719202049e-01	8.4717166795e-01	6.1390838568e-01
14	1.1765708360e+00	9.7706074069e-01	1.1540414924e+00	9.0205328004e-01
15	1.2360679201e+00	1.0293316621e+00	1.2304524977e+00	9.6907494485e-01
16	1.0334815102e+00	8.3613409673e-01	1.0488347529e+00	7.9353040813e-01
17	1.1340352691e+00	9.3483258158e-01	1.0784122649e+00	8.2774959753e-01
18	1.2580330554e+00	1.0455731794e+00	1.2791176808e+00	1.0046106428e+00
19	1.0923344786e+00	8.8792931139e-01	1.0137652104e+00	7.6752034877e-01
20	1.0871742264e+00	8.8457134300e-01	1.0387195360e+00	7.8764376949e-01
21	1.2499567509e+00	1.0381899487e+00	1.2595977980e+00	9.9003493069e-01
22	1.1010746763e+00	9.0333191288e-01	1.2083525018e+00	9.4269111385e-01
23	1.0064138484e+00	8.1348023112e-01	9.8979720763e-01	7.4854864961e-01
24	1.0277482317e+00	8.2146461342e-01	1.0713058520e+00	8.0649521601e-01
25	1.0361681733e+00	8.4227490488e-01	9.7702493895e-01	7.3831485298e-01
26	1.1653674932e+00	9.6547129740e-01	1.1992519362e+00	9.4284172556e-01
27	1.2197614468e+00	1.0240008313e+00	1.2669054125e+00	1.0024463192e+00
28	1.1776771858e+00	9.7361932568e-01	1.1910829655e+00	9.2518872144e-01
29	1.1225615731e+00	9.1379196964e-01	1.1653512197e+00	8.9261871529e-01
30	1.1933158347e+00	9.8846629435e-01	1.1895453115e+00	9.2533847175e-01
31	1.1759830352e+00	9.6248752964e-01	1.1726408883e+00	9.0833549652e-01
32	1.1738201324e+00	9.6633080108e-01	1.2235670378e+00	9.5089599282e-01
33	1.0871727154e+00	8.8943915815e-01	1.0178440292e+00	7.7073204752e-01
34	1.0154984749e+00	8.1822642519e-01	1.0624142718e+00	8.0583453629e-01
35	1.2182490257e+00	1.0140676690e+00	1.2502867055e+00	9.8249929841e-01
36	1.0300084754e+00	8.3749321894e-01	1.1509456262e+00	8.9784191586e-01
37	1.1976335444e+00	9.8067729913e-01	1.2508186073e+00	9.7098330652e-01
38	1.2260364920e+00	1.0228998134e+00	1.2322991890e+00	9.6804965100e-01
39	1.2355258002e+00	1.0216817674e+00	1.2540047966e+00	9.7997262018e-01
40	1.0896371715e+00	8.9117929187e-01	1.1355684090e+00	8.7700323162e-01
