# realization	CO_IGE	CO_Ni56	CONe_IGE	CONe_Ni56	CO_KE	CONe_KE
11	1.1632834007e+00	9.6124158871e-01	1.2101415456e+00	9.4555249355e-01	1.3670664623e+51	1.2376282301e+51
12	1.2537443074e+00	1.0446210064e+00	1.2533458287e+00	9.8584327582e-01	1.4154523372e+51	1.2532468166e+51
13	9.7185554697e-01	7.7719202049e-01	8.4717166795e-01	6.1390838568e-01	1.2437025538e+51	1.0289864216e+51
14	1.1765708360e+00	9.7706074069e-01	1.1540414924e+00	9.0205328004e-01	1.3810545087e+51	1.2070107200e+51
15	1.2360679201e+00	1.0293316621e+00	1.2304524977e+00	9.6907494485e-01	1.4279285392e+51	1.2616991567e+51
16	1.0334815102e+00	8.3613409673e-01	1.0488347529e+00	7.9353040813e-01	1.2811990792e+51	1.1369286803e+51
17	1.1340352691e+00	9.3483258158e-01	1.0784122649e+00	8.2774959753e-01	1.3480726429e+51	1.1645965742e+51
18	1.2580330554e+00	1.0455731794e+00	1.2791176808e+00	1.0046106428e+00	1.4115919543e+51	1.2857969920e+51
19	1.0923344786e+00	8.8792931139e-01	1.0137652104e+00	7.6752034877e-01	1.3249832736e+51	1.1222849068e+51
20	1.0871742264e+00	8.8457134300e-01	1.0387195360e+00	7.8764376949e-01	1.3152348776e+51	1.1404794575e+51
21	1.2499567509e+00	1.0381899487e+00	1.2595977980e+00	9.9003493069e-01	1.4098584402e+51	1.2678261290e+51
22	1.1010746763e+00	9.0333191288e-01	1.2083525018e+00	9.4269111385e-01	1.3316709358e+51	1.2456507222e+51
23	1.0064138484e+00	8.1348023112e-01	9.8979720763e-01	7.4854864961e-01	1.2672378198e+51	1.1030808818e+51
24	1.0277482317e+00	8.2146461342e-01	1.0713058520e+00	8.0649521601e-01	1.2802399366e+51	1.1640049995e+51
25	1.0361681733e+00	8.4227490488e-01	9.7702493895e-01	7.3831485298e-01	1.2617035028e+51	1.0973428784e+51
26	1.1653674932e+00	9.6547129740e-01	1.1992519362e+00	9.4284172556e-01	1.3726979075e+51	1.2355764056e+51
27	1.2197614468e+00	1.0240008313e+00	1.2669054125e+00	1.0024463192e+00	1.4153148445e+51	1.2798404611e+51
28	1.1776771858e+00	9.7361932568e-01	1.1910829655e+00	9.2518872144e-01	1.3850526592e+51	1.2367723704e+51
29	1.1225615731e+00	9.1379196964e-01	1.1653512197e+00	8.9261871529e-01	1.3491359161e+51	1.2041039710e+51
30	1.1933158347e+00	9.8846629435e-01	1.1895453115e+00	9.2533847175e-01	1.3923025527e+51	1.2369544531e+51
31	1.1759830352e+00	9.6248752964e-01	1.1726408883e+00	9.0833549652e-01	1.3778115396e+51	1.2229851393e+51
32	1.1738201324e+00	9.6633080108e-01	1.2235670378e+00	9.5089599282e-01	1.3750275408e+51	1.2546048219e+51
33	1.0871727154e+00	8.8943915815e-01	1.0178440292e+00	7.7073204752e-01	1.2354663234e+51	1.1333815395e+51
34	1.0154984749e+00	8.1822642519e-01	1.0624142718e+00	8.0583453629e-01	1.2756552887e+51	1.1525361879e+51
35	1.2182490257e+00	1.0140676690e+00	1.2502867055e+00	9.8249929841e-01	1.4129225218e+51	1.2802912626e+51
36	1.0300084754e+00	8.3749321894e-01	1.1509456262e+00	8.9784191586e-01	1.2832249296e+51	1.2191055440e+51
37	1.1976335444e+00	9.8067729913e-01	1.2508186073e+00	9.7098330652e-01	1.3933067545e+51	1.2529166198e+51
38	1.2260364920e+00	1.0228998134e+00	1.2322991890e+00	9.6804965100e-01	1.4117698908e+51	1.2624308943e+51
39	1.2355258002e+00	1.0216817674e+00	1.2540047966e+00	9.7997262018e-01	1.4293422276e+51	1.2725138485e+51
40	1.0896371715e+00	8.9117929187e-01	1.1355684090e+00	8.7700323162e-01	1.3213706281e+51	1.2089144068e+51
# Averages +/- standard deviations, Msun or ergs
#  CO   IGE : 1.1385396877e+00 +/- 8.5171556107e-02
#  CO   Ni56: 9.3556872779e-01 +/- 8.0737368549e-02
#  CONe IGE : 1.1474202394e+00 +/- 1.0845665027e-01
#  CONe Ni56: 8.8747179866e-01 +/- 9.8626524122e-02
#  CO   KE  : 1.3499132796e+51 +/- 6.0394433542e+49
#  CONe KE  : 1.2056497164e+51 +/- 6.5890370077e+49
